execution,phase,year,month,day,hour,minute,second,ms
s23_01,start      ,2022,8,3,20,31,10,8
s23_01,stand_start,2022,8,3,20,31,10,324
s23_01,stand_end  ,2022,8,3,20,31,11,512
s23_01,turn1_start,2022,8,3,20,31,14,292
s23_01,turn1_end  ,2022,8,3,20,31,15,429
s23_01,turn2_start,2022,8,3,20,31,17,839
s23_01,turn2_end  ,2022,8,3,20,31,18,885
s23_01,sit_start  ,2022,8,3,20,31,18,885
s23_01,sit_end    ,2022,8,3,20,31,19,990
s23_01,end        ,2022,8,3,20,31,20,408
s23_02,start      ,2022,8,3,20,31,48,272
s23_02,stand_start,2022,8,3,20,31,48,840
s23_02,stand_end  ,2022,8,3,20,31,50,89
s23_02,turn1_start,2022,8,3,20,31,52,834
s23_02,turn1_end  ,2022,8,3,20,31,54,49
s23_02,turn2_start,2022,8,3,20,31,56,674
s23_02,turn2_end  ,2022,8,3,20,31,57,585
s23_02,sit_start  ,2022,8,3,20,31,57,585
s23_02,sit_end    ,2022,8,3,20,31,59,58
s23_02,end        ,2022,8,3,20,31,59,860
s23_03,start      ,2022,8,3,20,32,23,750
s23_03,stand_start,2022,8,3,20,32,23,984
s23_03,stand_end  ,2022,8,3,20,32,25,318
s23_03,turn1_start,2022,8,3,20,32,28,296
s23_03,turn1_end  ,2022,8,3,20,32,29,505
s23_03,turn2_start,2022,8,3,20,32,32,126
s23_03,turn2_end  ,2022,8,3,20,32,33,149
s23_03,sit_start  ,2022,8,3,20,32,33,149
s23_03,sit_end    ,2022,8,3,20,32,34,353
s23_03,end        ,2022,8,3,20,32,35,173
s23_04,start      ,2022,8,3,20,32,56,654
s23_04,stand_start,2022,8,3,20,32,57,440
s23_04,stand_end  ,2022,8,3,20,32,58,644
s23_04,turn1_start,2022,8,3,20,33,1,79
s23_04,turn1_end  ,2022,8,3,20,33,2,383
s23_04,turn2_start,2022,8,3,20,33,5,75
s23_04,turn2_end  ,2022,8,3,20,33,6,77
s23_04,sit_start  ,2022,8,3,20,33,6,77
s23_04,sit_end    ,2022,8,3,20,33,7,163
s23_04,end        ,2022,8,3,20,33,7,464
s23_05,start      ,2022,8,3,20,34,10,85
s23_05,stand_start,2022,8,3,20,34,10,703
s23_05,stand_end  ,2022,8,3,20,34,11,990
s23_05,turn1_start,2022,8,3,20,34,14,432
s23_05,turn1_end  ,2022,8,3,20,34,15,783
s23_05,turn2_start,2022,8,3,20,34,18,491
s23_05,turn2_end  ,2022,8,3,20,34,19,427
s23_05,sit_start  ,2022,8,3,20,34,19,427
s23_05,sit_end    ,2022,8,3,20,34,20,381
s23_05,end        ,2022,8,3,20,34,20,782
s23_06,start      ,2022,8,3,20,34,44,653
s23_06,stand_start,2022,8,3,20,34,44,887
s23_06,stand_end  ,2022,8,3,20,34,46,159
s23_06,turn1_start,2022,8,3,20,34,48,761
s23_06,turn1_end  ,2022,8,3,20,34,50,199
s23_06,turn2_start,2022,8,3,20,34,52,641
s23_06,turn2_end  ,2022,8,3,20,34,53,486
s23_06,sit_start  ,2022,8,3,20,34,53,486
s23_06,sit_end    ,2022,8,3,20,34,54,658
s23_06,end        ,2022,8,3,20,34,55,93
s23_07,start      ,2022,8,3,20,35,16,156
s23_07,stand_start,2022,8,3,20,35,16,641
s23_07,stand_end  ,2022,8,3,20,35,17,829
s23_07,turn1_start,2022,8,3,20,35,20,306
s23_07,turn1_end  ,2022,8,3,20,35,21,670
s23_07,turn2_start,2022,8,3,20,35,23,892
s23_07,turn2_end  ,2022,8,3,20,35,24,830
s23_07,sit_start  ,2022,8,3,20,35,24,830
s23_07,sit_end    ,2022,8,3,20,35,25,982
s23_07,end        ,2022,8,3,20,35,26,417
s23_08,start      ,2022,8,3,20,35,45,361
s23_08,stand_start,2022,8,3,20,35,46,121
s23_08,stand_end  ,2022,8,3,20,35,47,326
s23_08,turn1_start,2022,8,3,20,35,49,773
s23_08,turn1_end  ,2022,8,3,20,35,51,127
s23_08,turn2_start,2022,8,3,20,35,53,269
s23_08,turn2_end  ,2022,8,3,20,35,54,131
s23_08,sit_start  ,2022,8,3,20,35,54,131
s23_08,sit_end    ,2022,8,3,20,35,55,285
s23_08,end        ,2022,8,3,20,35,55,285
s23_09,start      ,2022,8,3,20,36,39,949
s23_09,stand_start,2022,8,3,20,36,40,785
s23_09,stand_end  ,2022,8,3,20,36,42,92
s23_09,turn1_start,2022,8,3,20,36,44,332
s23_09,turn1_end  ,2022,8,3,20,36,45,471
s23_09,turn2_start,2022,8,3,20,36,48,77
s23_09,turn2_end  ,2022,8,3,20,36,48,989
s23_09,sit_start  ,2022,8,3,20,36,48,989
s23_09,sit_end    ,2022,8,3,20,36,50,327
s23_09,end        ,2022,8,3,20,36,51,247
