execution,phase,year,month,day,hour,minute,second,ms
s24_01,stand_start,2023,2,8,12,3,49,706
s24_01,stand_end  ,2023,2,8,12,3,50,608
s24_01,turn1_start,2023,2,8,12,3,52,935
s24_01,turn1_end  ,2023,2,8,12,3,54,189
s24_01,turn2_start,2023,2,8,12,3,56,113
s24_01,turn2_end  ,2023,2,8,12,3,57,34
s24_01,sit_start  ,2023,2,8,12,3,57,34
s24_01,sit_end    ,2023,2,8,12,3,57,903
s24_02,stand_start,2023,2,8,12,4,37,386
s24_02,stand_end  ,2023,2,8,12,4,38,256
s24_02,turn1_start,2023,2,8,12,4,40,665
s24_02,turn1_end  ,2023,2,8,12,4,41,551
s24_02,turn2_start,2023,2,8,12,4,43,392
s24_02,turn2_end  ,2023,2,8,12,4,44,346
s24_02,sit_start  ,2023,2,8,12,4,44,346
s24_02,sit_end    ,2023,2,8,12,4,45,200
s24_03,stand_start,2023,2,8,12,5,6,210
s24_03,stand_end  ,2023,2,8,12,5,6,980
s24_03,turn1_start,2023,2,8,12,5,9,122
s24_03,turn1_end  ,2023,2,8,12,5,10,210
s24_03,turn2_start,2023,2,8,12,5,12,132
s24_03,turn2_end  ,2023,2,8,12,5,13,19
s24_03,sit_start  ,2023,2,8,12,5,13,19
s24_03,sit_end    ,2023,2,8,12,5,13,920
s24_04,stand_start,2023,2,8,12,5,32,112
s24_04,stand_end  ,2023,2,8,12,5,33,116
s24_04,turn1_start,2023,2,8,12,5,35,372
s24_04,turn1_end  ,2023,2,8,12,5,36,459
s24_04,turn2_start,2023,2,8,12,5,38,232
s24_04,turn2_end  ,2023,2,8,12,5,39,118
s24_04,sit_start  ,2023,2,8,12,5,39,118
s24_04,sit_end    ,2023,2,8,12,5,39,869
s24_05,stand_start,2023,2,8,12,5,59,173
s24_05,stand_end  ,2023,2,8,12,5,59,943
s24_05,turn1_start,2023,2,8,12,6,2,35
s24_05,turn1_end  ,2023,2,8,12,6,3,74
s24_05,turn2_start,2023,2,8,12,6,4,997
s24_05,turn2_end  ,2023,2,8,12,6,5,749
s24_05,sit_start  ,2023,2,8,12,6,5,749
s24_05,sit_end    ,2023,2,8,12,6,6,587
s24_06,stand_start,2023,2,8,12,6,25,171
s24_06,stand_end  ,2023,2,8,12,6,26,73
s24_06,turn1_start,2023,2,8,12,6,28,65
s24_06,turn1_end  ,2023,2,8,12,6,29,287
s24_06,turn2_start,2023,2,8,12,6,31,194
s24_06,turn2_end  ,2023,2,8,12,6,31,931
s24_06,sit_start  ,2023,2,8,12,6,31,931
s24_06,sit_end    ,2023,2,8,12,6,32,801
s24_07,stand_start,2023,2,8,12,7,16,868
s24_07,stand_end  ,2023,2,8,12,7,17,722
s24_07,turn1_start,2023,2,8,12,7,19,880
s24_07,turn1_end  ,2023,2,8,12,7,20,934
s24_07,turn2_start,2023,2,8,12,7,22,756
s24_07,turn2_end  ,2023,2,8,12,7,23,596
s24_07,sit_start  ,2023,2,8,12,7,23,596
s24_07,sit_end    ,2023,2,8,12,7,24,414
s24_08,stand_start,2023,2,8,12,7,42,769
s24_08,stand_end  ,2023,2,8,12,7,43,742
s24_08,turn1_start,2023,2,8,12,7,45,882
s24_08,turn1_end  ,2023,2,8,12,7,47,104
s24_08,turn2_start,2023,2,8,12,7,48,994
s24_08,turn2_end  ,2023,2,8,12,7,49,831
s24_08,sit_start  ,2023,2,8,12,7,49,831
s24_08,sit_end    ,2023,2,8,12,7,50,634
s24_09,stand_start,2023,2,8,12,8,44,855
s24_09,stand_end  ,2023,2,8,12,8,45,610
s24_09,turn1_start,2023,2,8,12,8,47,901
s24_09,turn1_end  ,2023,2,8,12,8,49,22
s24_09,turn2_start,2023,2,8,12,8,50,879
s24_09,turn2_end  ,2023,2,8,12,8,51,715
s24_09,sit_start  ,2023,2,8,12,8,51,715
s24_09,sit_end    ,2023,2,8,12,8,52,487
