,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down
0,s01,9679,1302,2474,1120,2743,918,1122
1,s01,9875,1172,2495,1237,2495,1053,1423
2,s01,10509,1574,2526,1172,2726,871,1640
3,s01,10132,1071,2558,1154,2692,952,1705
4,s01,10393,939,2744,1153,2963,1020,1574
5,s01,10644,1037,2668,1337,2420,970,2212
6,s01,9585,819,2643,1155,2475,921,1572
7,s01,9418,1052,2562,1069,2577,971,1187
8,s01,9419,1036,2510,1004,2575,954,1339
9,s01,8316,971,2295,901,2260,818,1071
10,s02,10490,1204,2595,1321,2963,987,1420
11,s02,10708,1086,2376,1422,3197,904,1723
12,s02,9839,1037,2360,1522,2477,1122,1321
13,s02,8968,1104,2025,1121,2393,1004,1321
14,s02,9234,1262,2051,1438,2359,955,1169
15,s02,8877,970,2173,1172,2523,919,1120
16,s02,9380,1038,2575,1253,2475,952,1087
17,s02,8833,1071,2190,1190,2326,919,1137
18,s02,9051,1138,2073,1105,2510,1037,1188
19,s03,9279,1087,2290,1438,2257,1069,1138
20,s03,9583,1121,2356,1689,2375,1037,1004
21,s03,9911,1086,2441,1721,2374,1036,1253
22,s03,9706,987,2592,1240,2795,954,1138
23,s03,10332,853,2843,1471,2610,1334,1221
24,s03,10360,970,2846,1138,2860,1188,1358
25,s03,10004,1052,2694,1306,2426,1103,1423
26,s03,9565,902,2845,1405,2291,971,1151
27,s03,9730,952,2507,1340,2759,1018,1154
28,s03,9778,1188,2673,1120,2658,1088,1051
29,s04,8576,1002,2257,886,2577,919,935
30,s04,8627,820,2189,868,2860,870,1020
31,s04,8577,769,2157,1105,2507,955,1084
32,s04,9313,1689,2257,1371,1738,1037,1221
33,s04,8334,804,2224,888,2224,1004,1189
34,s04,7983,804,2174,873,1922,953,1257
35,s04,7999,822,2108,987,1957,1054,1071
36,s04,8093,954,1972,1171,1874,1119,1004
37,s04,8293,837,2023,1087,1904,1187,1255
38,s04,8132,787,2008,851,1993,1122,1371
39,s05,9600,1020,2559,1171,2675,986,1189
40,s05,9695,1102,2642,1086,2609,1002,1253
41,s05,9847,851,2743,953,2976,952,1372
42,s05,9345,818,2575,953,2926,853,1220
43,s05,10248,1120,2442,1169,2876,1002,1639
44,s05,9630,835,2525,1219,2808,870,1373
45,s05,9958,972,2610,1104,2928,972,1372
46,s05,9706,1022,2510,1187,2777,853,1357
47,s05,9990,1105,2727,1020,2913,936,1288
48,s05,9605,1002,2360,1289,2695,920,1338
49,s06,8461,1121,1923,1437,1655,870,1455
50,s06,7761,936,2107,754,1858,735,1371
51,s06,8141,937,1939,1204,1888,854,1320
52,s06,6922,836,1956,986,1555,518,1071
53,s06,7356,885,1974,986,1520,752,1239
54,s06,7563,954,1907,1004,1655,838,1204
55,s06,7781,987,2041,953,1824,686,1289
56,s06,7980,1020,2008,1036,1674,836,1405
57,s06,7444,852,2025,903,1473,885,1306
58,s06,7162,1036,1808,970,1440,770,1138
59,s07,9029,1037,2591,1304,2274,936,887
60,s07,9978,953,2609,1186,2324,920,1986
61,s07,9215,905,2575,1305,2223,1087,1120
62,s07,8678,753,2676,1086,1940,1054,1169
63,s07,9113,1055,2507,1121,2241,1121,1068
64,s07,9630,1052,2441,1071,2156,1155,1755
65,s07,8677,951,2475,1054,2257,888,1052
66,s07,9614,917,2544,1137,2524,1306,1186
67,s07,8980,920,2376,1270,2308,1170,936
68,s07,8596,753,2507,1222,2309,902,903
69,s08,8159,886,2175,1119,2124,986,869
70,s08,8359,936,2258,1018,1655,1271,1220
71,s08,8444,904,2122,921,2223,1054,1220
72,s08,9202,1088,2293,1137,1991,1037,1656
73,s08,8661,918,2341,1137,1974,1138,1153
74,s08,8978,1119,2290,1404,1874,1086,1205
75,s08,8544,1136,2142,1270,1788,903,1305
76,s08,8785,1053,2293,1255,2092,955,1137
77,s08,8243,1120,2157,1004,1839,936,1187
78,s08,8494,1304,1989,1204,2024,819,1154
79,s09,8850,1020,2426,1406,1872,870,1256
80,s09,9498,1205,2258,1304,2223,1104,1404
81,s09,9012,1002,2307,1256,2056,1037,1353
82,s09,8754,1089,2175,1273,2058,954,1205
83,s09,8378,1037,2224,1136,1891,952,1138
84,s09,7992,952,2190,970,1940,836,1104
85,s09,8009,970,2090,1002,2057,786,1103
86,s09,7975,1020,2241,886,1872,819,1137
87,s09,8093,1036,1990,1054,1873,919,1221
88,s09,8042,1103,2023,1070,1773,769,1304
89,s10,8510,1088,2273,1054,1873,1102,1120
90,s10,8127,952,2341,937,1823,1054,1020
91,s10,7959,902,2191,887,1822,1120,1037
92,s10,8633,988,2225,1002,2076,1020,1321
93,s10,8593,969,2157,1103,1939,1221,1204
94,s10,8494,920,2223,1069,2023,987,1272
95,s10,8777,954,2340,1070,1989,1187,1237
96,s10,8729,970,2240,1020,2173,1138,1187
97,s10,8427,1018,2090,970,2157,1038,1153
98,s10,8191,903,2140,1187,1838,1102,1020
99,s11,8561,787,2641,770,2410,950,1002
100,s11,8678,786,2423,920,2442,937,1170
101,s11,8995,853,2625,1002,2558,954,1002
102,s11,8079,720,2243,904,2476,819,917
103,s11,9697,1068,2724,1038,2610,987,1270
104,s11,9152,1118,2699,904,2592,953,886
105,s11,9129,836,2723,938,2525,1068,1039
106,s11,9591,1189,2745,1018,2511,939,1188
107,s11,9533,1641,2492,953,2509,950,988
108,s11,9312,1136,2660,934,2660,870,1052
109,s12,10626,1220,2560,1757,2677,1090,1322
110,s12,9055,956,2192,1271,2428,968,1240
111,s12,8333,838,2140,955,2258,920,1222
112,s12,8861,886,2424,1170,2559,753,1069
113,s12,9028,1090,2339,1036,2427,882,1254
114,s12,9227,1153,2408,1035,2424,988,1219
115,s12,8476,1070,2090,1087,2107,1018,1103
116,s12,8828,920,2341,1086,2442,868,1171
117,s12,9178,1103,2758,937,2122,1071,1187
118,s12,8217,937,1891,837,2275,920,1357
119,s13,8946,1002,2308,820,2423,1020,1371
120,s13,8151,1004,1958,1072,2226,886,1004
121,s13,8444,935,2075,1169,2124,936,1205
122,s13,8208,920,2037,1121,2157,835,1137
123,s13,8281,937,2173,1054,2125,854,1138
124,s13,8200,937,1974,1189,2142,904,1054
125,s13,8157,903,2123,1035,2206,820,1070
126,s13,8379,921,2074,1121,2324,902,1037
127,s13,8737,972,2175,1189,2259,971,1171
128,s13,8208,1020,2039,1120,2207,702,1120
129,s14,9201,1004,2342,1271,2207,937,1440
130,s14,9649,1004,2357,1153,2409,1069,1657
131,s14,9480,1104,2307,1154,2392,986,1537
132,s14,9463,1004,2474,1119,2325,1036,1505
133,s14,9478,835,2458,1120,2509,1136,1420
134,s14,9466,1155,2341,1070,2493,1052,1355
135,s14,9701,1138,2474,1255,2291,1053,1490
136,s14,9382,922,2507,1153,2392,1170,1238
137,s15,9681,1037,2993,1071,2390,954,1236
138,s15,9633,1472,2759,1020,2208,869,1305
139,s15,8980,1188,2423,837,2157,803,1572
140,s15,8564,1204,2426,970,2158,903,903
141,s15,8746,1069,2275,803,2559,970,1070
142,s15,10383,1069,2659,953,3093,920,1689
143,s15,9617,1055,2659,1020,2875,921,1086
144,s15,9181,1087,2573,922,2474,1020,1105
145,s15,8727,1203,2609,903,2005,1004,1002
146,s15,8715,670,2760,921,2073,1087,1204
147,s16,9449,1053,2425,1087,2191,869,1824
148,s16,8945,938,2205,1290,2204,986,1322
149,s16,9264,1122,2307,1371,2241,1002,1221
150,s16,8243,1002,2024,1034,1960,951,1271
151,s16,6507,988,1339,936,1217,739,1288
152,s16,10415,1155,2492,1018,2977,1270,1503
153,s16,8729,1154,2024,1002,2223,956,1369
154,s16,8192,1086,1990,1086,2025,902,1103
155,s16,9788,1020,2242,1172,2711,1204,1439
156,s16,8985,1136,2144,1069,2512,835,1289
157,s17,8829,1120,2507,987,2374,837,1004
158,s17,9162,1137,2173,1071,2659,902,1220
159,s17,8931,1054,2174,955,2391,1187,1170
160,s17,10816,1154,2675,1087,2977,953,1970
161,s17,9871,1037,2660,1018,2710,953,1492
162,s17,9515,1153,2777,1020,2543,852,1170
163,s17,9551,1004,2894,885,2828,752,1188
164,s17,9867,1139,2723,1190,2708,953,1154
165,s17,9484,1018,2709,937,2895,936,988
166,s17,9715,1105,2774,954,2743,835,1304
167,s18,11222,1205,3311,919,2994,1172,1621
168,s18,9784,919,2643,885,2994,887,1456
169,s18,14853,1756,4417,1638,3579,1590,1873
170,s18,11523,1472,4466,903,2058,1071,1553
