,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status,system
0,s01,-330.0,-343.0,-76.0,78.0,373.0,-439.0,77.0,success,C1
1,s01,-47.0,26.0,-578.0,441.0,622.0,-94.0,-464.0,success,C1
2,s01,-441.0,-615.0,-848.0,-693.0,-2007.0,3924.0,-202.0,success,C1
3,s01,-304.0,846.0,-880.0,45.0,-55.0,7.0,-267.0,success,C1
4,s01,155.0,21.0,132.0,46.0,152.0,-300.0,104.0,success,C1
5,s01,-96.0,1361.0,-1471.0,-137.0,216.0,229.0,-294.0,success,C1
6,s01,4.0,140.0,-246.0,283.0,162.0,-202.0,-133.0,success,C1
7,s01,170.0,-573.0,-1364.0,-828.0,-660.0,3583.0,12.0,success,C1
8,s01,170.0,403.0,-593.0,674.0,-178.0,5.0,-140.0,success,C1
9,s01,75.0,-251.0,102.0,1017.0,-1062.0,141.0,128.0,success,C1
10,s02,57.0,-245.0,41.0,-362.0,153.0,-27.0,497.0,success,C1
11,s02,-881.0,112.0,-218.0,16.0,-81.0,295.0,-1005.0,success,C1
12,s02,-251.0,161.0,-202.0,-324.0,640.0,76.0,-602.0,success,C1
13,s02,-339.0,95.0,-348.0,78.0,4.0,-45.0,-123.0,success,C1
14,s02,-365.0,-303.0,106.0,0.0,-201.0,243.0,-210.0,success,C1
15,s02,-247.0,-11.0,-255.0,506.0,-366.0,280.0,-401.0,success,C1
16,s02,-271.0,-79.0,-418.0,426.0,-78.0,246.0,-368.0,success,C1
17,s02,-444.0,126.0,-272.0,248.0,-168.0,280.0,-658.0,success,C1
18,s02,-421.0,-179.0,84.0,94.0,-113.0,161.0,-468.0,success,C1
19,s03,-650.0,-607.0,4182.0,,,-590.0,60.0,partial_success,C1
20,s03,245.0,78.0,520.0,-731.0,742.0,-318.0,-45.0,success,C1
21,s03,-84.0,112.0,675.0,-1002.0,742.0,-317.0,-294.0,success,C1
22,s03,-118.0,-28.0,284.0,-41.0,81.0,-235.0,-179.0,success,C1
23,s03,-266.0,-135.0,5308.0,,,,-263.0,partial_success,C1
24,s03,-54.0,228.0,4584.0,,,,-160.0,partial_success,C1
25,s03,302.0,-333.0,661.0,-587.0,691.0,-384.0,254.0,success,C1
26,s03,742.0,57.0,4346.0,,,-492.0,527.0,partial_success,C1
27,s03,97.0,6.0,849.0,-621.0,-123.0,-59.0,45.0,success,C1
28,s03,-670.0,-469.0,443.0,-400.0,-22.0,-129.0,-93.0,success,C1
29,s04,-187.0,-283.0,-100.0,73.0,-180.0,519.0,-216.0,success,C1
30,s04,242.0,859.0,-751.0,330.0,-703.0,329.0,178.0,success,C1
31,s04,531.0,669.0,-479.0,813.0,-1309.0,243.0,594.0,success,C1
32,s04,-684.0,-969.0,-101.0,-412.0,660.0,-318.0,456.0,success,C1
33,s04,295.0,155.0,-67.0,310.0,-545.0,434.0,9.0,success,C1
34,s04,-313.0,-84.0,-17.0,325.0,-484.0,246.0,-299.0,success,C1
35,s04,629.0,136.0,50.0,-269.0,-279.0,863.0,128.0,success,C1
36,s04,296.0,5.0,185.0,-452.0,523.0,-161.0,195.0,success,C1
37,s04,-143.0,123.0,-106.0,-368.0,254.0,251.0,-297.0,success,C1
38,s04,737.0,172.0,150.0,347.0,-795.0,316.0,547.0,success,C1
39,s05,227.0,658.0,-642.0,-213.0,203.0,-28.0,249.0,success,C1
40,s05,-108.0,1055.0,-1204.0,-127.0,267.0,-283.0,185.0,success,C1
41,s05,,,-826.0,6.0,140.0,-233.0,785.0,failure,C1
42,s05,243.0,860.0,-657.0,5.0,-49.0,106.0,-22.0,success,C1
43,s05,,,-284.0,-450.0,240.0,-44.0,279.0,failure,C1
44,s05,198.0,363.0,-127.0,-21.0,-172.0,89.0,66.0,success,C1
45,s05,348.0,-254.0,507.0,-145.0,-292.0,-13.0,545.0,success,C1
46,s05,361.0,-64.0,127.0,12.0,-141.0,106.0,321.0,success,C1
47,s05,1036.0,333.0,150.0,-61.0,-277.0,22.0,870.0,success,C1
48,s05,222.0,-44.0,37.0,-90.0,-58.0,38.0,340.0,success,C1
49,s06,-71.0,-401.0,234.0,1.0,263.0,-151.0,-17.0,success,C1
50,s06,389.0,263.0,-190.0,205.0,-660.0,224.0,547.0,success,C1
51,s06,9.0,22.0,-261.0,-6.0,269.0,-135.0,119.0,success,C1
52,s06,29.0,362.0,-39.0,-266.0,123.0,-39.0,-112.0,success,C1
53,s06,-406.0,-167.0,-296.0,213.0,-322.0,207.0,-41.0,success,C1
54,s06,-132.0,724.0,-469.0,-285.0,23.0,121.0,-245.0,success,C1
55,s06,-111.0,1170.0,-1082.0,246.0,-146.0,33.0,-331.0,success,C1
56,s06,-549.0,179.0,-330.0,162.0,-235.0,362.0,-686.0,success,C1
57,s06,465.0,585.0,-586.0,55.0,-35.0,74.0,372.0,success,C1
58,s06,29.0,162.0,-370.0,-251.0,-1.0,668.0,-179.0,success,C1
59,s07,319.0,162.0,285.0,-105.0,-357.0,262.0,72.0,success,C1
60,s07,-870.0,5.0,268.0,12.0,-167.0,39.0,-1027.0,success,C1
61,s07,-346.0,-186.0,61.0,-107.0,-65.0,-128.0,79.0,success,C1
62,s07,-49.0,-34.0,-39.0,112.0,-262.0,144.0,30.0,success,C1
63,s07,-5.0,-97.0,130.0,-162.0,-84.0,77.0,131.0,success,C1
64,s07,197.0,146.0,196.0,-112.0,-238.0,522.0,-317.0,success,C1
65,s07,193.0,247.0,-77.0,145.0,-340.0,311.0,-93.0,success,C1
66,s07,-26.0,42.0,93.0,61.0,-367.0,-107.0,252.0,success,C1
67,s07,129.0,39.0,21.0,169.0,-391.0,-211.0,502.0,success,C1
68,s07,513.0,206.0,130.0,-263.0,88.0,57.0,295.0,success,C1
69,s08,230.0,312.0,-258.0,320.0,-446.0,212.0,90.0,success,C1
70,s08,-209.0,23.0,-580.0,659.0,-216.0,-73.0,-21.0,success,C1
71,s08,-54.0,55.0,35.0,-202.0,-66.0,145.0,-21.0,success,C1
72,s08,385.0,110.0,104.0,-178.0,-74.0,-318.0,741.0,success,C1
73,s08,-31.0,281.0,-424.0,62.0,183.0,61.0,-194.0,success,C1
74,s08,-349.0,79.0,108.0,-446.0,283.0,113.0,-486.0,success,C1
75,s08,-154.0,63.0,-225.0,169.0,-350.0,295.0,-106.0,success,C1
76,s08,-155.0,146.0,104.0,-56.0,-414.0,243.0,-178.0,success,C1
77,s08,146.0,77.0,1.0,-45.0,-161.0,263.0,11.0,success,C1
78,s08,375.0,134.0,-311.0,474.0,-346.0,140.0,284.0,success,C1
79,s09,-700.0,-301.0,-29.0,-447.0,524.0,90.0,-537.0,success,C1
80,s09,-629.0,-246.0,3495.0,-106.0,,,-206.0,partial_success,C1
81,s09,,-43.0,-150.0,-297.0,341.0,,,failure,C1
82,s09,-365.0,109.0,-17.0,-315.0,339.0,5.0,-486.0,success,C1
83,s09,-228.0,-78.0,-67.0,62.0,27.0,-233.0,61.0,success,C1
84,s09,-82.0,246.0,2844.0,,,-116.0,-146.0,partial_success,C1
85,s09,-338.0,-10.0,67.0,-283.0,-139.0,172.0,-144.0,success,C1
86,s09,-64.0,179.0,-323.0,312.0,-434.0,380.0,-178.0,success,C1
87,s09,-183.0,-77.0,-72.0,-96.0,-195.0,40.0,217.0,success,C1
88,s09,-372.0,95.0,-105.0,-351.0,-95.0,429.0,-345.0,success,C1
89,s10,-121.0,589.0,-355.0,-335.0,44.0,-142.0,78.0,success,C1
90,s10,22.0,965.0,-903.0,262.0,-145.0,144.0,-301.0,success,C1
91,s10,-289.0,-183.0,446.0,72.0,-145.0,-161.0,-318.0,success,C1
92,s10,237.0,-29.0,412.0,196.0,-398.0,179.0,-122.0,success,C1
93,s10,-443.0,-250.0,0.0,335.0,-21.0,-22.0,-485.0,success,C1
94,s10,-104.0,39.0,-65.0,129.0,134.0,212.0,-553.0,success,C1
95,s10,-147.0,5.0,57.0,128.0,-71.0,12.0,-278.0,success,C1
96,s10,-100.0,-11.0,396.0,-300.0,-16.0,61.0,-229.0,success,C1
97,s10,-38.0,181.0,-1131.0,947.0,1.0,160.0,-195.0,success,C1
98,s10,-281.0,536.0,-702.0,-228.0,319.0,336.0,-541.0,success,C1
99,s11,-171.0,412.0,-723.0,668.0,-492.0,8.0,-43.0,success,C1
100,s11,-528.0,173.0,-506.0,39.0,195.0,-218.0,-211.0,success,C1
101,s11,-126.0,345.0,-227.0,-43.0,78.0,-235.0,-43.0,success,C1
102,s11,-168.0,479.0,-565.0,55.0,-319.0,380.0,-198.0,success,C1
103,s11,-348.0,-349.0,153.0,-79.0,506.0,-268.0,-311.0,success,C1
104,s11,,,-61.0,54.0,285.0,-234.0,72.0,failure,C1
105,s11,-21.0,362.0,-86.0,-219.0,351.0,-348.0,-81.0,success,C1
106,s11,-962.0,-471.0,-348.0,181.0,126.0,-220.0,-229.0,success,C1
107,s11,-1383.0,-683.0,-574.0,245.0,129.0,-231.0,-269.0,success,C1
108,s11,-443.0,542.0,-502.0,-215.0,-263.0,328.0,-333.0,success,C1
109,s12,160.0,218.0,316.0,-558.0,439.0,-131.0,-124.0,success,C1
110,s12,-185.0,243.0,3561.0,,,231.0,-521.0,partial_success,C1
111,s12,537.0,600.0,257.0,-236.0,-101.0,40.0,-23.0,success,C1
112,s12,8.0,312.0,-26.0,-212.0,-162.0,206.0,-110.0,success,C1
113,s12,-398.0,109.0,-421.0,402.0,-270.0,77.0,-295.0,success,C1
114,s12,-118.0,45.0,-249.0,163.0,213.0,-270.0,-20.0,success,C1
115,s12,-326.0,129.0,307.0,-368.0,-190.0,-59.0,-144.0,success,C1
116,s12,-199.0,39.0,295.0,-367.0,-284.0,331.0,-213.0,success,C1
117,s12,-549.0,-145.0,-361.0,502.0,-204.0,-113.0,-228.0,success,C1
118,s12,-547.0,261.0,-213.0,-118.0,-117.0,39.0,-399.0,success,C1
119,s13,-558.0,-283.0,89.0,138.0,-26.0,179.0,-653.0,success,C1
120,s13,-1.0,-45.0,200.0,126.0,-548.0,312.0,-45.0,success,C1
121,s13,-55.0,263.0,-157.0,269.0,-446.0,263.0,-247.0,success,C1
122,s13,-298.0,-201.0,120.0,-162.0,0.0,-115.0,61.0,success,C1
123,s13,-132.0,-218.0,-16.0,144.0,-207.0,104.0,61.0,success,C1
124,s13,-291.0,-218.0,183.0,9.0,-224.0,-185.0,144.0,success,C1
125,s13,-8.0,295.0,-685.0,404.0,190.0,-100.0,-112.0,success,C1
126,s13,490.0,37.0,84.0,78.0,-407.0,297.0,401.0,success,C1
127,s13,132.0,227.0,-258.0,9.0,-102.0,228.0,28.0,success,C1
128,s13,-298.0,178.0,-600.0,558.0,-290.0,17.0,-161.0,success,C1
129,s14,147.0,-525.0,535.0,-312.0,429.0,-218.0,238.0,success,C1
130,s14,-61.0,-45.0,-199.0,284.0,-491.0,129.0,261.0,success,C1
131,s14,1546.0,-384.0,329.0,44.0,5.0,-27.0,1579.0,success,C1
132,s14,1084.0,195.0,-78.0,-160.0,72.0,402.0,653.0,success,C1
133,s14,829.0,-116.0,178.0,79.0,-112.0,62.0,738.0,success,C1
134,s14,361.0,-676.0,775.0,-112.0,144.0,387.0,-157.0,success,C1
135,s14,127.0,-179.0,163.0,-57.0,106.0,385.0,-291.0,success,C1
136,s14,1164.0,-203.0,370.0,-195.0,245.0,28.0,919.0,success,C1
137,s15,-93.0,-78.0,-117.0,-591.0,965.0,5.0,-277.0,success,C1
138,s15,-765.0,-753.0,357.0,658.0,-770.0,90.0,-347.0,success,C1
139,s15,-112.0,10.0,-266.0,361.0,-478.0,395.0,-134.0,success,C1
140,s15,-176.0,-246.0,-29.0,228.0,0.0,55.0,-184.0,success,C1
141,s15,-117.0,-590.0,601.0,156.0,-162.0,-12.0,-110.0,success,C1
142,s15,-556.0,129.0,-262.0,6.0,23.0,-201.0,-251.0,success,C1
143,s15,-269.0,-335.0,-23.0,179.0,-239.0,278.0,-128.0,success,C1
144,s15,-72.0,-128.0,64.0,37.0,-78.0,-61.0,94.0,success,C1
145,s15,-98.0,-5.0,-452.0,296.0,392.0,-286.0,-42.0,success,C1
146,s15,-326.0,49.0,116.0,38.0,84.0,-847.0,234.0,success,C1
147,s16,-340.0,146.0,-28.0,111.0,-33.0,-150.0,-386.0,success,C1
148,s16,-316.0,-218.0,192.0,148.0,-287.0,-267.0,116.0,success,C1
149,s16,-155.0,-163.0,90.0,-173.0,156.0,-282.0,217.0,success,C1
150,s16,625.0,-284.0,374.0,-75.0,-282.0,7.0,886.0,success,C1
151,s16,-275.0,1169.0,-1099.0,-457.0,461.0,-20.0,-329.0,success,C1
152,s16,-348.0,-676.0,145.0,-59.0,-341.0,648.0,-65.0,success,C1
153,s16,-100.0,-195.0,133.0,-283.0,174.0,243.0,-171.0,success,C1
154,s16,-521.0,-127.0,167.0,-607.0,372.0,57.0,-383.0,success,C1
155,s16,-1159.0,-61.0,-85.0,745.0,-793.0,,-720.0,partial_success,C1
156,s16,364.0,-177.0,253.0,370.0,-835.0,364.0,389.0,success,C1
157,s17,279.0,79.0,-351.0,-28.0,263.0,122.0,194.0,success,C1
158,s17,426.0,62.0,-16.0,-352.0,217.0,57.0,458.0,success,C1
159,s17,177.0,144.0,-256.0,243.0,-473.0,251.0,268.0,success,C1
160,s17,450.0,284.0,-38.0,350.0,-579.0,5.0,428.0,success,C1
161,s17,436.0,401.0,-263.0,-59.0,-73.0,5.0,426.0,success,C1
162,s17,73.0,285.0,-141.0,-61.0,-146.0,-132.0,268.0,success,C1
163,s17,277.0,-285.0,4058.0,,,206.0,11.0,partial_success,C1
