phase,system,ICC,CI,F Test,p-value
duration,C1,0.979,[0.96 0.99],94.521,0.0
duration,C2,0.972,[0.94 0.99],72.498,0.0
standing_up,C1,0.456,[0.12 0.7 ],2.677,0.005
standing_up,C2,0.176,[-0.22  0.52],1.414,0.187
first_walk,C1,0.822,[0.63 0.91],11.755,0.0
first_walk,C2,0.687,[0.32 0.86],7.076,0.0
first_turn,C1,0.264,[-0.11  0.57],1.694,0.081
first_turn,C2,0.026,[-0.19  0.3 ],1.085,0.417
second_walk,C1,0.916,[0.83 0.96],24.004,0.0
second_walk,C2,0.627,[0.1  0.84],6.922,0.0
second_turn,C1,0.54,[0.2  0.76],3.987,0.0
second_turn,C2,0.107,[-0.19  0.42],1.298,0.251
sitting_down,C1,0.697,[0.45 0.84],5.471,0.0
sitting_down,C2,0.454,[0.1 0.7],2.634,0.007
